26C0FEA1-8FCC-4C93-A80E-38304A0B04DC	[Выплаты АСП]->[Процессы]->[Формирование реестра о переназначении]->{Скрипт}	{                            var DistrictDepoDefId = new Guid("{390CDF92-BAE7-4AA5-9227-7FAAC8624E3C	A458C328-EDF2-47EB-A026-D94E662AC221	1	1	1	2655
573D9C10-68F5-4ADB-8388-913EE46B6A56	[Выплаты АСП]->[Процессы]->[Формирование реестра о переназначении]->{Скрипт}	{       var noticeDefId = new Guid("{DBFF063F-FB7F-4BDD-94AF-B7DBFD4E4505}");  //Уведомление о перен	A458C328-EDF2-47EB-A026-D94E662AC221	1	2	1	827
D2668AA0-3C36-40AA-8F1A-98A464E5F4F2	[Выплаты АСП]->[Процессы]->[Формирование реестра о прекращении с возвратом]->[Подготовка выборки увед. о депонировании]	using Intersoft.CISSA.DataAccessLayer.Model.Query.Def;  public class PrepareDepositNoticeQueryDef  {	9CF3F6B1-CDBC-47EA-949C-47104AF8B4C3	1	1	1	2271
8B035BA0-3AA0-4BA0-B7BD-B7B46A780D6B	[Выплаты АСП]->[Процессы]->[Формирование реестра о прекращении с возвратом]->[Формирование на основе увед. о депонировании]	{      var DistrictDepoDefId = new Guid("{520F7B37-8D62-43EA-A978-16743FBE454D}"); // DistrictTermin	9CF3F6B1-CDBC-47EA-949C-47104AF8B4C3	1	1	1	4307
B3126F18-6695-4792-A9DF-CA9543B6D3E4	[Выплаты АСП]->[Процессы]->[Формирование реестра о прекращении с возвратом]->{Подготовка выборки}	{      var bankAccountDepositDefId = new Guid("{42EFADF1-2366-4B88-B1FC-540F29470520}");      var no	9CF3F6B1-CDBC-47EA-949C-47104AF8B4C3	1	1	1	951
E22991CF-48C9-4D55-B507-4D0040452C43	[Выплаты АСП]->[Процессы]->[Формирование реестра о прекращении с возвратом]->{Подготовка реестра}	{      if (context.CurrentDocument != null) //(obj != null)      {           Doc doc = context.Curre	9CF3F6B1-CDBC-47EA-949C-47104AF8B4C3	1	1	1	1062
B65B548B-0DAB-492E-97D7-AC53AC962CA9	[Выплаты АСП]->[Процессы]->[Формирование реестра о прекращении с возвратом]->{Формирование реестра о прекращении с возвратом}	{      var DistrictDepoDefId = new Guid("{520F7B37-8D62-43EA-A978-16743FBE454D}"); // DistrictTermin	9CF3F6B1-CDBC-47EA-949C-47104AF8B4C3	1	1	1	3950
F3F87D70-11D0-4B7E-9556-452581A1EA98	[Жалобы и апелляции]->[Процессы]->[Добавить служебных отметок для апелляционных жалоб]->{Скрипт}	{      var app = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));      context.Docu	D77EB5AA-02A0-41B7-AED1-54AB9592467A	1	1	1	235
A7F782EC-93F5-441F-82E5-21962B40E740	[Жалобы и апелляции]->[Процессы]->[Добавить служебных отметок для жалоб]->{Скрипт}	{      var doc = context.CurrentDocument;      var userInfo = context.GetUserInfo();      doc["fio1"	B19605AF-7046-4A5C-A68A-F53CF1A086F9	1	1	1	228
44267C6B-325E-4C46-816C-62E8C2854D38	[Жалобы и апелляции]->[Процессы]->[Добавить служебных отметок для жалоб]->{Скрипт}	{      var app = context.Documents.LoadById(context.Get<Guid>("InputDocumentId"));                co	B19605AF-7046-4A5C-A68A-F53CF1A086F9	1	1	1	243
6FAD0511-3A46-4EFA-9BD2-F7E6DC82BE6D	[Жалобы и апелляции]->[Процессы]->[Зарегистрировать]->{Скрипт}	{        dynamic app = context.GetDynaDoc(context.Get<Guid>("InputDocumentId"));            context.	99F69B8C-4A5C-4E78-8BB3-1A4D16302A9E	1	1	2	133
